player,team,xt,n
Lionel Andrés Messi Cuccittini,Argentina,5.801872522598701,1424
Joshua Kimmich,Germany,5.167464874317513,1996
Luka Modrić,Croatia,4.929167114990632,2642
Antoine Griezmann,France,4.913563940062626,1485
Kevin De Bruyne,Belgium,4.854879370604817,1456
Toni Kroos,Germany,4.768539585789427,2156
Kieran Trippier,England,4.680632509522355,1647
Kylian Mbappé Lottin,France,4.656612069734393,1430
Neymar da Silva Santos Junior,Brazil,4.419189766329248,861
James David Rodríguez Rubio,Colombia,3.9738111244159167,636
Ricardo Iván Rodríguez Araya,Switzerland,3.9441097439629758,1500
Bruno Miguel Borges Fernandes,Portugal,3.4267979578521777,1049
Luke Shaw,England,3.3529974928977055,1398
Xherdan Shaqiri,Switzerland,3.2301806807850424,814
Ivan Perišić,Croatia,3.2153501607078545,983
Ousmane Dembélé,France,3.2080473416036974,801
Ángel Fabián Di María Hernández,Argentina,3.1279767732397357,756
Vladimír Coufal,Czech Republic,3.1212529241090943,662
Aymeric Laporte,Spain,3.0820178876361704,2793
Christian Dannemann Eriksen,Denmark,2.967830794973098,1034
Jordi Alba Ramos,Spain,2.8948731729626473,2221
Hakim Ziyech,Morocco,2.819476620723421,908
Dušan Tadić,Serbia,2.818902177037773,496
Cody Mathès Gakpo,Netherlands,2.7083711004737796,479
Achraf Hakimi Mouh,Morocco,2.7009649761846344,1206
Raphaël Adelino José Guerreiro,Portugal,2.691539803400307,1100
Memphis Depay,Netherlands,2.6461976571518813,750
Raphael Dias Belloli,Brazil,2.404742036601351,432
Piotr Zieliński,Poland,2.3257353443534114,918
Harry Maguire,England,2.2524425609633854,2027
Lamine Yamal Nasraoui Ebana,Spain,2.2481218350248806,399
Daniel Olmo Carvajal,Spain,2.165288670390693,1061
Ali Maâloul,Tunisia,2.1295006558662495,359
Joakim Mæhle,Denmark,2.103555440173178,1076
Eden Hazard,Belgium,2.0691155579272764,936
Jeremy Doku,Belgium,2.040851830168816,429
John Stones,England,2.012965040550372,3473
Temitayo Olufisayo Olaoluwa Aina,Nigeria,2.0011494516028687,390
Jamal Musiala,Germany,1.9687958364012066,639
Federico Santiago Valverde Dipetta,Uruguay,1.9396068298712574,796
Antonio Rüdiger,Germany,1.9374172358076898,1816
Nicholas Williams Arthuer,Spain,1.8893033275407722,552
Bukayo Saka,England,1.887524410946826,869
Kyle Walker,England,1.8843874044481141,2527
Daley Blind,Netherlands,1.8600989970559558,988
Mateo Kovačić,Croatia,1.851360281708208,1795
Paul Pogba,France,1.8460491875800316,1046
Joško Gvardiol,Croatia,1.817302474988531,1514
Josip Juranović,Croatia,1.8003494850339166,878
Georges-Kévin Nkoudou Mbida,Cameroon,1.7994137310959863,242
Theo Bernard François Hernández,France,1.7953868767001344,1238
Aleksandr Golovin,Russia,1.7739982327144277,420
Pierre-Emile Højbjerg,Denmark,1.7492702402478884,1596
Manuel Obafemi Akanji,Switzerland,1.7434847328728817,1968
Jordan Pickford,England,1.7265442964478972,1255
Vinícius José Paixão de Oliveira Júnior,Brazil,1.7212142366890018,353
Granit Xhaka,Switzerland,1.7018319783516151,2208
Ivan Rakitić,Croatia,1.7005006131711864,674
Christian Pulisic,United States,1.6884577000526775,387
Francisco Román Alarcón Suárez,Spain,1.682212474539516,873
Andrew Robertson,Scotland,1.6771464963393898,383
Ademola Lookman,Nigeria,1.6712666869919686,236
Pedro González López,Spain,1.6594482259832588,1794
Ismaïla Sarr,Senegal,1.64824905818022,422
Aurélien Djani Tchouaméni,France,1.6466554682414656,1503
Jorge Resurrección Merodio,Spain,1.645886523007752,1307
Thomas Meunier,Belgium,1.6291610623869266,922
Juan Fernando Quintero Paniagua,Colombia,1.6084125801201943,373
Raheem Sterling,England,1.5931549744916744,815
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,1.5897296109711117,270
Simon Adingra,Côte d'Ivoire,1.5818069187498214,154
Lorenzo Insigne,Italy,1.5658461515962345,571
Arda Güler,Turkey,1.5332332608169374,350
Federico Chiesa,Italy,1.5297663856193298,418
Rodrigo Hernández Cascante,Spain,1.5254377698208959,2282
Toby Alderweireld,Belgium,1.5207325150998627,1763
Antonee Robinson,United States,1.5126454534872014,546
Bernardo Mota Veiga de Carvalho e Silva,Portugal,1.5035142029592738,1382
Kléper Laveran Lima Ferreira,Portugal,1.4950035586857402,1921
Nahitan Michel Nández Acosta,Uruguay,1.4934198304904223,510
Ferrán Torres García,Spain,1.4766211806394387,522
Ruben Vargas,Switzerland,1.475668001479335,486
Jens Stryger Larsen,Denmark,1.4750126145219997,416
Krépin Diatta,Senegal,1.469397339097895,388
Mason Mount,England,1.464386816070322,442
Marcos Aoás Corrêa,Brazil,1.4589534915261815,1105
Sofiane Boufal,Morocco,1.4559169091467798,401
Hirving Rodrigo Lozano Bahena,Mexico,1.4519080661952108,338
Raphaël Varane,France,1.4486028089345417,1495
Alfredo Kulembe Ribeiro,Angola,1.4369691109928064,274
Rúben Santos Gato Alves Dias,Portugal,1.4246749674011185,1700
Andrija Živković,Serbia,1.3915199527479636,399
Mikkel Damsgaard,Denmark,1.3693447865804231,385
Diego Nicolás De La Cruz Arcosa,Uruguay,1.3686868713053084,289
Kasper Schmeichel,Denmark,1.3668072871899455,607
Arthur Masuaku,Congo DR,1.3601817187559166,553
Rodrigo Javier De Paul,Argentina,1.3557008820405556,1409
Šime Vrsaljko,Croatia,1.3523456674471088,707
Dries Mertens,Belgium,1.3512499108447802,336
Leroy Sané,Germany,1.3376842508161655,377
Mário Figueira Fernandes,Russia,1.3376484029349898,431
N'Golo Kanté,France,1.3218665412453032,1520
Gareth Frank Bale,Wales,1.3172486069812293,246
Johan Andrés Mojica Palacio,Colombia,1.3164685881547094,829
Marcel Sabitzer,Austria,1.3112269289747274,661
Hakan Çalhanoğlu,Turkey,1.3102229161270533,686
Ruslan Malinovskiy,Ukraine,1.3060735835862696,261
Chancel Mbemba Mangulu,Congo DR,1.2984660441260125,551
Yannick Ferreira Carrasco,Belgium,1.2913648259930524,528
Denzel Dumfries,Netherlands,1.290451857732458,919
Erick Javier Davis Grajales,Panama,1.28517618938943,449
Jules Koundé,France,1.2843832867208962,1160
Aaron Mooy,Australia,1.281693489035741,630
Luis Gerardo Chávez Magallón,Mexico,1.2711140230722655,424
Moisés Isaac Caicedo Corozo,Ecuador,1.2706255776197708,521
David Raum,Germany,1.2500601320822857,423
Teboho Mokoena,South Africa,1.2478719848566653,675
Dejan Lovren,Croatia,1.2406384714892031,1519
Weston McKennie,United States,1.2352892267150506,357
Thorgan Hazard,Belgium,1.2176474862111792,622
Gylfi Þór Sigurðsson,Iceland,1.212953999012581,177
Alphonso Davies,Canada,1.212869343995844,546
Nicolás Hernán Otamendi,Argentina,1.2122093542335008,1630
Jordan Ayew,Ghana,1.211930018671826,228
Sergio Busquets i Burgos,Spain,1.2062947557593728,1483
Zaidu Sanusi,Nigeria,1.2026461918399236,228
Giovanni Di Lorenzo,Italy,1.1981184677094718,1076
Sadio Mané,Senegal,1.1865192013528731,428
Aubrey Maphosa Modiba,South Africa,1.1770373675751582,657
Youssouf Sabaly,Senegal,1.1766884474886536,528
Alistair Johnston,Canada,1.1745212735100896,677
Nathan Aké,Netherlands,1.1713562332733314,1110
Rafael Alexandre Conceição Leão,Portugal,1.1686415503942784,299
Mikael Lustig,Sweden,1.163170888328703,378
Philippe Coutinho Correia,Brazil,1.143993735005641,602
Fabian Lukas Schär,Switzerland,1.1429994099454048,1106
Kalidou Koulibaly,Senegal,1.1389931519190015,809
Adrien Rabiot,France,1.1336310571126664,1237
Aguibou Camara,Guinea,1.1275443118208262,286
Cristiano Ronaldo dos Santos Aveiro,Portugal,1.1271070027348697,750
César Azpilicueta Tanco,Spain,1.1187697953810698,830
Przemysław Frankowski,Poland,1.1130579333810222,388
Mats Hummels,Germany,1.1111216560646833,704
Yeferson Julio Soteldo Martínez,Venezuela,1.1058041865102874,197
David Olatukunbo Alaba,Austria,1.1045281721331486,524
Azzedine Ounahi,Morocco,1.1043971649488158,885
Rodrygo Silva de Goes,Brazil,1.0992912746994847,401
Meschak Elia,Congo DR,1.093822671600959,195
Heung-Min Son,South Korea,1.0912816798047615,368
Thiago Emiliano da Silva,Brazil,1.080977868486107,1090
Ramin Rezaeian,Iran,1.0742325542212023,255
Joachim Andersen,Denmark,1.0725858444695417,943
Leonardo Spinazzola,Italy,1.0668940393811583,353
Marcelo Brozović,Croatia,1.0610218944424163,2192
Salem Mohammed Al Dawsari,Saudi Arabia,1.0599647826353322,544
Kai Havertz,Germany,1.0527620362204682,484
Benjamin Pavard,France,1.049950581170295,943
João Pedro Cavaco Cancelo,Portugal,1.0476413067594552,884
Hugo Lloris,France,1.0457965662672981,478
Mohamed Hany Gamal Eldemerdash,Egypt,1.0442403272488645,265
Jan Vertonghen,Belgium,1.0418477564886723,1898
Remo Freuler,Switzerland,1.0382396271742966,1035
Breel-Donald Embolo,Switzerland,1.0355260896419658,530
Mathías Olivera Miramontes,Uruguay,1.0310775527182336,576
Sebastian Larsson,Sweden,1.0280858929694052,412
João Félix Sequeira,Portugal,1.0276667773370696,392
Daniel James,Wales,1.0247188557626925,178
Yassine Meriah,Tunisia,1.0199674218580128,825
César Jasib Montes Castro,Mexico,1.0122574393525823,535
Danilo Luiz da Silva,Brazil,1.0110462016643502,926
Mahmoud Ibrahim Hassan,Egypt,1.0077617303689426,314
Pau Francisco Torres,Spain,1.003090991130469,1099
Declan Rice,England,1.003063275294473,2039
Mykola Matvienko,Ukraine,0.9944340381278065,1019
Romain Saïss,Morocco,0.9930161303876858,698
Virgil van Dijk,Netherlands,0.9925524576712724,1181
Harry Kane,England,0.9913477412269373,848
Ghislain Konan,Côte d'Ivoire,0.9892084070089687,625
Gedeon Kalulu Kyatengwa,Congo DR,0.9869714173360619,383
Rodrigo Bentancur Colmán,Uruguay,0.978697642577473,776
Jack Grealish,England,0.9775315957449886,253
Bartosz Bereszyński,Poland,0.9744014722587919,653
Antonín Barák,Czech Republic,0.9741313266099936,210
Daniel Carvajal Ramos,Spain,0.9731498650229703,1044
Mohamed Youcef Belaïli,Algeria,0.972653959057827,199
Juan Guillermo Cuadrado Bello,Colombia,0.9683735500567359,328
Issa Kabore,Burkina Faso,0.9621148072331838,275
Moses Daddy-Ajala Simon,Nigeria,0.9620652531649988,232
Vitor Machado Ferreira,Portugal,0.9620589685208533,794
Roland Sallai,Hungary,0.9554226123535584,231
Jordan Brian Henderson,England,0.9553896404495067,910
Deon Hotto Kavendji,Namibia,0.9534969399555137,221
Marcelo Vieira da Silva Júnior,Brazil,0.9525895806244791,495
Jérôme Boateng,Germany,0.9413276790065155,328
Jamiro Gregory Monteiro Alvarenga,Cape Verde Islands,0.9403928493287852,283
Stefan Posch,Austria,0.9401424457534734,323
Jean-Charles Castelletto,Cameroon,0.9318950719827531,469
Youri Tielemans,Belgium,0.9273466990671883,877
Andrés Iniesta Luján,Spain,0.9230671291410322,487
Christoph Baumgartner,Austria,0.9218205947709344,355
Jude Bellingham,England,0.921143974396275,1213
Sergino Dest,United States,0.9188995890210527,358
Musa Barrow,Gambia,0.9174665888491302,187
Sergio Ramos García,Spain,0.9140469746477352,859
Nacer Chadli,Belgium,0.9133616611227954,422
Nicolás Alejandro Tagliafico,Argentina,0.9074782516945362,1087
Donyell Malen,Netherlands,0.906329307358052,222
Gerard Piqué Bernabéu,Spain,0.902706359186868,609
Andreas Christensen,Denmark,0.9002646935821907,1639
Dayotchanculle Upamecano,France,0.8983562566961899,1216
Michael Amir Murillo Bermudez,Panama,0.8983033337953983,396
Héctor Miguel Herrera López,Mexico,0.8976486049986786,516
Domenico Berardi,Italy,0.8951216242688426,238
Borna Sosa,Croatia,0.8913159271908884,436
Frenkie de Jong,Netherlands,0.8865068618406814,1070
Nahuel Molina Lucero,Argentina,0.8747768113694321,798
Luis Fernando Díaz Marulanda,Colombia,0.8727315914617768,283
Wilfried Stephane Singo,Côte d'Ivoire,0.8713810612587454,332
Ludwig Augustinsson,Sweden,0.8713582452612577,367
Dominik Szoboszlai,Hungary,0.8617442803125374,221
Yahia Attiyat allah,Morocco,0.858427327265965,287
Alessandro Bastoni,Italy,0.8577622186511787,710
Leonardo Bonucci,Italy,0.8558939182711014,780
Ismail Jakobs,Senegal,0.8558637535448472,389
Mesut Özil,Germany,0.8542896045137934,318
Richie Laryea,Canada,0.8492571378755456,247
Sergej Milinković-Savić,Serbia,0.8489366376905136,514
Ahmed Fathy Abdel Meneim Ibrahim,Egypt,0.8446072090248061,229
Ray Kendry Páez Andrade,Ecuador,0.8431772929537764,162
Facundo Pellistri Rebollo,Uruguay,0.8416717937045003,243
José María Giménez de Vargas,Uruguay,0.8384180803744496,736
Lukáš Haraslín,Slovakia,0.8380144100716276,189
Jacinto Muondo Dala,Angola,0.8377878751828762,170
Andriy Yarmolenko,Ukraine,0.8373618744451456,356
Davinson Sánchez Mina,Colombia,0.8322012935647091,846
Riaan Hanamub,Namibia,0.8314616412513419,244
Romelu Lukaku Menama,Belgium,0.8302012685260295,428
Emil Peter Forsberg,Sweden,0.8293798202133214,465
Piero Martín Hincapié Reyna,Ecuador,0.8265683021346255,550
Yoane Wissa,Congo DR,0.8130783265266708,251
Francisco Fernandes Conceição,Portugal,0.8066131406680657,237
Stephen Antunes Eustáquio,Canada,0.7992934546154418,574
Serge Gnabry,Germany,0.7983818868763056,321
Simon Thorup Kjær,Denmark,0.7979669231222257,922
Trent Alexander-Arnold,England,0.7934196538336198,313
Marco Verratti,Italy,0.7916984592613061,781
Enzo Fernandez,Argentina,0.7870462242920976,1173
Mehmet Zeki Çelik,Turkey,0.7839291661542938,325
Cristian Gabriel Romero,Argentina,0.7822252981032862,1240
Pervis Josué Estupiñán Tenorio,Ecuador,0.7813426447509147,279
Thomas Müller,Germany,0.7760329132340402,528
Carlos Henrique Casimiro,Brazil,0.7757629800827863,821
Willian Borges da Silva,Brazil,0.7727077956423667,342
Philip Foden,England,0.7723757912542496,223
Yuto Nagatomo,Japan,0.7707359717781785,445
Obite Evan Ndicka,Côte d'Ivoire,0.7676755896632375,757
Ante Rebić,Croatia,0.7672393295442912,279
Théo Bongonda Mbul'Ofeko Batombo,Congo DR,0.7661210679207139,177
Fabián Ruiz Peña,Spain,0.7638518695030833,889
Leandro Trossard,Belgium,0.7634645356642018,329
Miguel Arturo Layún Prado,Mexico,0.7612592673803745,201
Silvan Widmer,Switzerland,0.7585924102393351,651
Maximiliano Javier Araújo Vilches,Uruguay,0.7583030945321956,182
Ashley Young,England,0.7565648476087913,353
Marcos Llorente Moreno,Spain,0.755931224911023,644
Khvicha Kvaratskhelia,Georgia,0.7537204891780985,184
Oleksandr Karavaev,Ukraine,0.7513415285309994,440
Julio César Enciso Espínola,Paraguay,0.7500428203149268,201
Jannik Vestergaard,Denmark,0.7483820093557709,873
Hiroki Sakai,Japan,0.7476941347424849,319
Tomáš Souček,Czech Republic,0.7461340013997512,481
Angelo Smit Preciado Quiñónez,Ecuador,0.7453025872312511,354
Alex Iwobi,Nigeria,0.7421291881580406,413
Nuno Mendes,Portugal,0.7393130546818864,700
Ferdi Erenay Kadıoğlu,Turkey,0.7360120340806068,468
Xavi Simons,Netherlands,0.7347447887434809,368
Stefan de Vrij,Netherlands,0.732591616058041,1017
Fágner Conserva Lemos,Brazil,0.7261487114101994,375
Lamine Camara,Senegal,0.7258482661355792,220
Sikou Niakate,Mali,0.7250849018348706,523
Florian Wirtz,Germany,0.723709632800539,347
Cyle Larin,Canada,0.723650625864473,175
Logan Costa,Cape Verde Islands,0.7226744875788464,448
Damián Emiliano Martínez,Argentina,0.7191270156070246,553
João Filipe Iria Santos Moutinho,Portugal,0.7175131213240596,315
Ezgjan Alioski,North Macedonia,0.7172581244035652,244
Andrej Kramarić,Croatia,0.7168046420823377,851
Jorge Luiz Frello Filho,Italy,0.711171049568349,1347
Oleksandr Zinchenko,Ukraine,0.7039444962307121,725
Illia Zabarnyi,Ukraine,0.6992887919304898,893
Barış Alper Yılmaz,Turkey,0.6925852758264998,210
Gaku Shibasaki,Japan,0.6923169100749285,373
Éver Maximiliano David Banega,Argentina,0.6849230374481351,373
Abdou Diallo,Senegal,0.6814825305280473,499
Edinson Roberto Cavani Gómez,Uruguay,0.679066871695844,214
Lucas Hernández Pi,France,0.6780596444310358,575
Jorge Eduardo Sánchez Ramos,Mexico,0.6756854302490558,363
Julián Álvarez,Argentina,0.6746050828273256,318
Mohamed Hamdy Sharaf,Egypt,0.6741217983109556,281
Kamory Doumbia,Mali,0.6722374523955832,261
Young-Gwon Kim,South Korea,0.6697390746697973,484
André Martín Carrillo Díaz,Peru,0.6678936542726787,213
Aleksandr Samedov,Russia,0.6649951559777749,232
Alejandro Grimaldo García,Spain,0.6648238491364158,172
Ali Abdi,Tunisia,0.6618624377959432,245
Alexander David González Sibulo,Venezuela,0.6588417982272897,175
Jhon Adolfo Arias Andrade,Colombia,0.6569402808766928,428
Joey Veerman,Netherlands,0.6528920344419858,265
Connor Roberts,Wales,0.648995350623168,351
Maximilian Mittelstädt,Germany,0.6488702075187578,377
Mohamed Salah,Egypt,0.6459743315264117,175
Giovanni Reyna,United States,0.6455861024853091,184
Wojciech Szczęsny,Poland,0.6445041077829805,357
Timo Werner,Germany,0.6408214003399963,198
Salman Mohammed Al Faraj,Saudi Arabia,0.6400142736600706,478
William Troost-Ekong,Nigeria,0.6328628958228611,440
Cristian Jesús Martínez,Panama,0.6315171210816647,260
Henrik Dalsgaard,Denmark,0.6307590520957466,239
Niklas Süle,Germany,0.629042103493248,590
Hamari Traoré,Mali,0.6276605839819841,541
Darwin Gabriel Núñez Ribeiro,Uruguay,0.6250919225910065,234
Victor Nilsson Lindelöf,Sweden,0.621235454596252,511
Joel Nathaniel Campbell Samuels,Costa Rica,0.6206886293811257,430
Samuel Moutoussamy,Congo DR,0.6201296527283501,418
Mykola Shaparenko,Ukraine,0.6162090630152525,632
Dominik Livaković,Croatia,0.6161181017207544,585
Unai Simón Mendibil,Spain,0.6152690307508685,973
Thomas Delaney,Denmark,0.6149529895202018,788
Calvin Bassey Ughelumba,Nigeria,0.613690726859574,403
Mathias Jensen,Denmark,0.6136219989306055,292
Marcos Javier Acuña,Argentina,0.6123466618809668,507
Ronwen Williams,South Africa,0.6120220424746518,407
Stephan Lichtsteiner,Switzerland,0.6089580862302268,224
Éder Gabriel Militão,Brazil,0.6080350236406812,819
Roman Zobnin,Russia,0.6076233204138473,477
